,HC-DN_pattern_PLS_C1,HC-DN_pattern_PLS_C2,HC-DN_pattern_PLS_C3
1,0.0058741567084896,0.0813307860815576,-0.012553525960423
2,0.0859347667193635,-0.0771149572023873,-0.0297937872787605
3,-0.0384093347360514,-0.092860029736146,0.1186886207716403
4,-0.0401544886453216,-0.0596633548698038,-0.1029940795585317
5,0.0637560375501797,0.0838897718454424,-0.0076869928790065
6,0.082982377600987,0.0892916450738088,-0.0649294923743159
7,-0.0255278365561948,0.0919151213945083,0.1444304040884051
8,0.0975876500682224,0.0280145637642783,-0.0016839654538069
9,-0.1557616526741913,-0.0330219828338202,0.0937048473443201
10,-0.0115905827318735,-0.0556494164480395,-0.0711355729434018
11,-0.0489942111754524,0.0735958366076999,0.0671554768151701
12,0.008675709863797,-0.1277539051530482,0.0168371260659241
13,-0.1541073646804613,0.1085396902245782,-0.0887172003809687
14,-0.0980930969169156,-0.1117770171654741,0.1008767643705574
15,0.0318588551877383,-0.0083578651453225,0.0137573072568223
16,-0.0005013436836078,0.0214346012826976,0.0365329797419856
17,-0.0969213347281816,-0.0241395027120741,-0.0785941411016589
18,0.0090939362777216,0.0256672245249773,0.1632856177775796
19,-0.0197519948180603,-0.0603998345548056,0.0470682827559823
20,-0.0542167086603231,0.10791123673399,-0.057856356548973
21,0.059224588264094,0.0824736447331052,-0.0879379832019416
22,0.0039857453050193,0.0949013351850469,-0.0969335738261841
23,0.0856749958973612,-0.0487430587405804,-0.057162232347803
24,-0.0565981604272894,0.0546531900756615,0.0333401857230462
25,-0.008523830911988,-0.0137590440627679,0.0334649945026467
26,0.1661218451477514,-0.1409144997000385,-0.0796437341942601
27,-0.0069229484832517,-0.0846311998121253,-0.1393542502561309
28,-0.1086622945449334,-0.0261554922990676,0.1109885177959389
29,0.0660777614738962,0.0774866115885274,-0.1042204401781151
30,0.1407596793814909,0.0015965138986778,0.0395407691852922
31,0.057559418904099,0.1753036562212941,-0.1810363719542266
32,-0.1396686270275599,-0.0140751166929343,0.0298695252974522
33,0.0192921301661834,-0.0499501755013245,-0.0209227740802701
34,0.0910796426144571,-0.0514343783824487,-0.0123919334888671
35,-0.1778173473382289,-0.1291283739767847,-0.1099816836881811
36,-0.0176260187901196,0.1399203621713133,0.1070935327342862
37,0.0044997921497991,0.0356937495006674,-0.0274465360713936
38,-0.0905271765769214,-0.2511690359905115,-0.091027319035956
39,-0.0026600146845781,0.2006886765931733,-0.0673499115791431
40,-0.0380378734730559,0.0371762742554006,-0.1761026385769823
41,0.0589761812737353,0.0201551245037985,-0.0007596970276966
42,-0.054058432076014,-0.0606824950237758,0.1134866238797297
43,-0.1506275030769326,-0.0595668549409863,-0.1308620842078868
44,-0.0311758277307272,-0.0294005937821034,0.0291821845776349
45,-0.0627529202273547,0.0053472696487197,0.0238319870436428
46,-0.0838222971675951,-0.0450053432125427,0.0109258717885923
47,-0.0996511193435482,0.007052296875492,-0.0932968048741496
48,-0.1211215685558915,-0.0675110909439586,-0.2513888320090178
49,-0.109569193903048,-0.1429571998442366,0.0513622914946828
50,0.0311704334279573,-0.049545734916522,-0.0297321385678333
